dessertId,name,category,content,tags
17,水果塔,水果系,水果塔鋪滿當季新鮮水果，搭配卡士達醬與酥脆塔皮，酸甜爽口，外觀繽紛。,水果|塔類|新鮮|卡士達|下午茶
18,紅絲絨蛋糕,奶油乳酪系,紅絲絨蛋糕色澤鮮艷，搭配奶油乳酪霜，口感濕潤柔軟，適合節慶聚會。,紅絲絨|乳酪|節慶|聚會|人氣
19,榛果巧克力蛋糕,巧克力系,榛果巧克力蛋糕融合榛果香氣與濃郁巧克力，層次豐富，是堅果控最愛。,榛果|巧克力|堅果|濃郁|下午茶
20,抹茶千層蛋糕,抹茶系,抹茶千層蛋糕使用日本抹茶粉製成，每層餅皮均勻細緻，茶香濃郁且回甘。,抹茶|千層|日式|茶香|人氣
21,草莓泡芙,水果系,草莓泡芙加入新鮮草莓與鮮奶油，酸甜滋味令人回味無窮。,草莓|泡芙|鮮奶油|水果|下午茶
22,芋頭蛋糕,台式甜點,芋頭蛋糕選用大甲芋頭熬煮內餡，香氣自然濃郁，口感綿密細緻。,芋頭|台式|綿密|人氣|蛋糕
23,香橙磅蛋糕,磅蛋糕,香橙磅蛋糕加入新鮮柳橙皮與奶油製成，帶有淡雅果香與濕潤口感。,香橙|磅蛋糕|奶油|下午茶|果香
24,香蕉巧克力蛋糕,巧克力系,香蕉巧克力蛋糕融合成熟香蕉與巧克力，香甜濃郁且口感柔軟。,香蕉|巧克力|濕潤|人氣|蛋糕
25,蜂蜜蛋糕,經典甜點,蜂蜜蛋糕採用天然龍眼蜜製作，香氣濃郁，蛋糕柔軟細緻，老少咸宜。,蜂蜜|柔軟|經典|下午茶|送禮
26,伯爵茶蛋糕,茶香系,伯爵茶蛋糕散發佛手柑茶香，口感細膩，適合搭配熱茶享用。,伯爵茶|茶香|下午茶|蛋糕|英式
27,栗子蒙布朗,法式甜點,栗子蒙布朗以法國栗子泥製成，香甜細緻，外型優雅，是秋季人氣甜點。,栗子|蒙布朗|法式|秋季|人氣
28,葡萄乾司康,英式點心,葡萄乾司康外酥內鬆軟，搭配果醬與奶油最具英式下午茶風味。,司康|葡萄乾|英式|下午茶|烘焙
29,蔓越莓司康,英式點心,蔓越莓司康酸甜適中，口感鬆軟，適合搭配咖啡或紅茶。,司康|蔓越莓|酸甜|下午茶|茶點
30,巧克力司康,巧克力系,巧克力司康加入巧克力豆烘焙，香氣濃郁，口感酥鬆。,司康|巧克力|茶點|下午茶|點心
31,原味瑪德蓮,法式甜點,原味瑪德蓮擁有貝殼造型，奶油香濃，口感柔軟濕潤。,瑪德蓮|法式|奶油|下午茶|經典
32,檸檬瑪德蓮,法式甜點,檸檬瑪德蓮帶有清新檸檬香氣，酸甜爽口，適合夏日享用。,瑪德蓮|檸檬|清爽|下午茶|法式
33,抹茶瑪德蓮,抹茶系,抹茶瑪德蓮散發濃郁茶香，甜度適中，深受抹茶愛好者喜愛。,抹茶|瑪德蓮|茶香|日式|下午茶
34,巧克力瑪德蓮,巧克力系,巧克力瑪德蓮香濃柔軟，入口即化，是咖啡最佳搭配點心。,巧克力|瑪德蓮|下午茶|點心|咖啡
35,草莓生乳捲,水果系,草莓生乳捲以北海道鮮奶油搭配新鮮草莓製成，口感輕盈滑順。,草莓|生乳捲|鮮奶油|水果|人氣
36,巧克力生乳捲,巧克力系,巧克力生乳捲內餡濃郁滑順，蛋糕柔軟，是巧克力控推薦商品。,巧克力|生乳捲|濃郁|人氣|蛋糕
37,芒果生乳捲,水果系,芒果生乳捲充滿愛文芒果果香，搭配鮮奶油，清爽不膩。,芒果|生乳捲|水果|夏季|人氣
38,抹茶生乳捲,抹茶系,抹茶生乳捲茶香濃郁，搭配北海道鮮奶油，層次豐富。,抹茶|生乳捲|日式|茶香|人氣
39,芋泥生乳捲,台式甜點,芋泥生乳捲採用新鮮芋頭泥製成，香甜綿密，深受芋頭控喜愛。,芋頭|生乳捲|台式|綿密|人氣
40,焦糖起司塔,乳酪系,焦糖起司塔結合焦糖香氣與濃郁乳酪，塔皮酥脆，口感豐富。,焦糖|乳酪|塔類|酥脆|人氣
41,巧克力塔,巧克力系,巧克力塔使用濃郁甘納許製成，入口滑順，巧克力香氣十足。,巧克力|塔類|甘納許|濃郁|下午茶
42,蘋果派,經典甜點,蘋果派選用新鮮蘋果與肉桂慢火熬煮，搭配酥脆派皮，香氣十足。,蘋果|派|肉桂|經典|下午茶
43,肉桂捲,麵包甜點,肉桂捲散發濃郁肉桂香，搭配糖霜，口感柔軟，是咖啡館熱門商品。,肉桂|麵包|糖霜|咖啡|人氣
44,核桃布朗尼,巧克力系,核桃布朗尼加入香脆核桃，讓濃郁巧克力增添堅果香氣與口感層次。,核桃|布朗尼|巧克力|堅果|人氣
45,巧克力餅乾,餅乾類,巧克力餅乾酥脆香濃，加入巧克力豆，適合作為下午茶小點心。,餅乾|巧克力|酥脆|下午茶|點心
46,燕麥葡萄乾餅乾,餅乾類,燕麥葡萄乾餅乾富含燕麥與葡萄乾，口感酥香，帶有自然果甜。,燕麥|葡萄乾|餅乾|健康|下午茶
47,杏仁瓦片,餅乾類,杏仁瓦片薄脆香甜，使用大量杏仁片烘烤，口感酥脆，適合送禮。,杏仁|瓦片|酥脆|送禮|人氣
48,法式千層酥,法式甜點,法式千層酥擁有層層酥脆口感，搭配卡士達內餡，是經典法式甜點。,法式|千層酥|卡士達|酥脆|下午茶
49,草莓塔,水果系,草莓塔使用新鮮草莓搭配卡士達醬與酥脆塔皮，酸甜可口，深受女性顧客喜愛。,草莓|水果|塔類|人氣|下午茶
50,香草泡芙,經典甜點,香草泡芙每日現烤，內餡採用天然香草卡士達醬，香濃滑順，是最受歡迎的經典甜點之一。,香草|泡芙|卡士達|人氣|下午茶
